Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Domain
Watanabe T.; Tsutou K.; Saito K.; Ishida K.; Tanabe S.; Nojima I.,"Watanabe, Tatsunori (56726991900); Tsutou, Kotaro (57190346911); Saito, Kotaro (57190338886); Ishida, Kazuto (57190215555); Tanabe, Shigeo (14054974400); Nojima, Ippei (54927390900)",56726991900; 57190346911; 57190338886; 57190215555; 14054974400; 54927390900,Performance monitoring and response conflict resolution associated with choice stepping reaction tasks,2016,Experimental Brain Research,234,11,,3355,3365,10.0,12,10.1007/s00221-016-4733-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979263687&doi=10.1007%2fs00221-016-4733-2&partnerID=40&md5=df691b577dfd9dc2f6b030319e524a03,"Choice reaction requires response conflict resolution, and the resolution processes that occur during a choice stepping reaction task undertaken in a standing position, which requires maintenance of balance, may be different to those processes occurring during a choice reaction task performed in a seated position. The study purpose was to investigate the resolution processes during a choice stepping reaction task at the cortical level using electroencephalography and compare the results with a control task involving ankle dorsiflexion responses. Twelve young adults either stepped forward or dorsiflexed the ankle in response to a visual imperative stimulus presented on a computer screen. We used the Simon task and examined the error-related negativity (ERN) that follows an incorrect response and the correct-response negativity (CRN) that follows a correct response. Error was defined as an incorrect initial weight transfer for the stepping task and as an incorrect initial tibialis anterior activation for the control task. Results revealed that ERN and CRN amplitudes were similar in size for the stepping task, whereas the amplitude of ERN was larger than that of CRN for the control task. The ERN amplitude was also larger in the stepping task than the control task. These observations suggest that a choice stepping reaction task involves a strategy emphasizing post-response conflict and general performance monitoring of actual and required responses and also requires greater cognitive load than a choice dorsiflexion reaction. The response conflict resolution processes appear to be different for stepping tasks and reaction tasks performed in a seated position. © 2016, Springer-Verlag Berlin Heidelberg.",Anticipatory postural adjustments; Choice stepping reaction task; Correct-response negativity; Electroencephalography; Error-related negativity,Adult; Analysis of Variance; Choice Behavior; Conflict (Psychology); Electroencephalography; Electromyography; Evoked Potentials; Female; Humans; Male; Photic Stimulation; Posture; Psychomotor Performance; Reaction Time; Young Adult; adult; ankle; Article; artifact; brain cortex; clinical article; conflict management; electroencephalography; event related potential; eye movement; female; human; male; priority journal; response time; task performance; visual stimulation; young adult; analysis of variance; body position; conflict; decision making; electromyography; evoked response; photostimulation; physiology; psychomotor performance; reaction time,Article,Final,,Scopus,2-s2.0-84979263687,Movies / Media
Wilson K.A.; Heinselman P.L.; Kang Z.,"Wilson, Katie A. (57192714640); Heinselman, Pamela L. (6507215763); Kang, Ziho (56486906100)",57192714640; 6507215763; 56486906100,Exploring applications of eye tracking in operational meteorology research,2016,Bulletin of the American Meteorological Society,97,11,,2019,2025,6.0,10,10.1175/BAMS-D-15-00148.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007613445&doi=10.1175%2fBAMS-D-15-00148.1&partnerID=40&md5=8ad2a88e10f3c24e85f6e2b6be065b68,"Eye tracking was used within the meteorology community to assess communications of weather information to the public. Researchers used eye tracking to study the impact of a weathercaster�s gesturing during a televised weather forecast on viewers� attention. Their analysis revealed that while gesturing did not impact viewers� retention of information, it did redirect viewers� attention to different elements on the screen. Eye tracking was also Used to investigate the impact of different legend colors and content in hurricane storm surge graphics on participants� ability to accurately interpret threat levels.",,Hurricanes; Weather forecasting; Hurricane storm surge; Threat levels; Weather information; Eye tracking,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85007613445,Movies / Media
Coco M.I.; Keller F.; Malcolm G.L.,"Coco, Moreno I. (35093644900); Keller, Frank (27169408700); Malcolm, George L. (15765578100)",35093644900; 27169408700; 15765578100,Anticipation in Real-World Scenes: The Role of Visual Context and Visual Memory,2016,Cognitive Science,40,8,,1995,2024,29.0,28,10.1111/cogs.12313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949057659&doi=10.1111%2fcogs.12313&partnerID=40&md5=6bf86a817e3eed9ce2d9d75674ac2543,"The human sentence processor is able to make rapid predictions about upcoming linguistic input. For example, upon hearing the verb eat, anticipatory eye-movements are launched toward edible objects in a visual scene (Altmann & Kamide, 1999). However, the cognitive mechanisms that underlie anticipation remain to be elucidated in ecologically valid contexts. Previous research has, in fact, mainly used clip-art scenes and object arrays, raising the possibility that anticipatory eye-movements are limited to displays containing a small number of objects in a visually impoverished context. In Experiment 1, we confirm that anticipation effects occur in real-world scenes and investigate the mechanisms that underlie such anticipation. In particular, we demonstrate that real-world scenes provide contextual information that anticipation can draw on: When the target object is not present in the scene, participants infer and fixate regions that are contextually appropriate (e.g., a table upon hearing eat). Experiment 2 investigates whether such contextual inference requires the co-presence of the scene, or whether memory representations can be utilized instead. The same real-world scenes as in Experiment 1 are presented to participants, but the scene disappears before the sentence is heard. We find that anticipation occurs even when the screen is blank, including when contextual inference is required. We conclude that anticipatory language processing is able to draw upon global scene representations (such as scene type) to make contextual inferences. These findings are compatible with theories assuming contextual guidance, but posit a challenge for theories assuming object-based visual indices. Copyright © 2015 Cognitive Science Society, Inc.",Anticipation in language processing; Blank screen paradigm; Contextual guidance; Eye-tracking; Visual world,Adult; Attention; Eye Movements; Female; Humans; Male; Memory; Photic Stimulation; Visual Perception; Young Adult; adult; attention; eye movement; female; human; male; memory; photostimulation; physiology; vision; young adult,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84949057659,Movies / Media
Hanke M.; Adelhöfer N.; Kottke D.; Iacovella V.; Sengupta A.; Kaule F.R.; Nigbur R.; Waite A.Q.; Baumgartner F.; Stadler J.,"Hanke, Michael (35859076500); Adelhöfer, Nico (57191739045); Kottke, Daniel (56406325200); Iacovella, Vittorio (35332140400); Sengupta, Ayan (57191746950); Kaule, Falko R. (44861473300); Nigbur, Roland (14023424000); Waite, Alexander Q. (57191744719); Baumgartner, Florian (55318023700); Stadler, Jörg (22939640700)",35859076500; 57191739045; 56406325200; 35332140400; 57191746950; 44861473300; 14023424000; 57191744719; 55318023700; 22939640700,"A studyforrest extension, simultaneous fMRI and eye gaze recordings during prolonged natural stimulation",2016,Scientific Data,3,,160092,,,,72,10.1038/sdata.2016.92,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992568802&doi=10.1038%2fsdata.2016.92&partnerID=40&md5=81ad9d3914845307699375b8d13331d4,"Here we present an update of the studyforrest (http://studyforrest.org) dataset that complements the previously released functional magnetic resonance imaging (fMRI) data for natural language processing with a new two-hour 3 Tesla fMRI acquisition while 15 of the original participants were shown an audio-visual version of the stimulus motion picture. We demonstrate with two validation analyses that these new data support modeling specific properties of the complex natural stimulus, as well as a substantial within-subject BOLD response congruency in brain areas related to the processing of auditory inputs, speech, and narrative when compared to the existing fMRI data for audio-only stimulation. In addition, we provide participants' eye gaze location as recorded simultaneously with fMRI, and an additional sample of 15 control participants whose eye gaze trajectories for the entire movie were recorded in a lab setting - to enable studies on attentional processes and comparative investigations on the potential impact of the stimulation setting on these processes. © 2016 The Author(s).",,Acoustic Stimulation; Attention; Auditory Perception; Brain Mapping; Humans; Magnetic Resonance Imaging; attention; auditory stimulation; brain mapping; hearing; human; nuclear magnetic resonance imaging,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-84992568802,Movies / Media
Dietze P.; Knowles E.D.,"Dietze, Pia (56646126000); Knowles, Eric D. (23011975300)",56646126000; 23011975300,Social Class and the Motivational Relevance of Other Human Beings: Evidence From Visual Attention,2016,Psychological Science,27,11,,1517,1527,10.0,103,10.1177/0956797616667721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994262647&doi=10.1177%2f0956797616667721&partnerID=40&md5=a5f0c9ebd1b7442648bfbd0bb01d8eda,"We theorize that people’s social class affects their appraisals of others’ motivational relevance—the degree to which others are seen as potentially rewarding, threatening, or otherwise worth attending to. Supporting this account, three studies indicate that social classes differ in the amount of attention their members direct toward other human beings. In Study 1, wearable technology was used to film the visual fields of pedestrians on city streets; higher-class participants looked less at other people than did lower-class participants. In Studies 2a and 2b, participants’ eye movements were tracked while they viewed street scenes; higher class was associated with reduced attention to people in the images. In Study 3, a change-detection procedure assessed the degree to which human faces spontaneously attract visual attention; faces proved less effective at drawing the attention of high-class than low-class participants, which implies that class affects spontaneous relevance appraisals. The measurement and conceptualization of social class are discussed. © 2016, © The Author(s) 2016.",culture; open data; open materials; social class; social orientation; visual attention,"Adult; Attention; Behavior; Cognition; Culture; Eye Movements; Facial Expression; Female; Fixation, Ocular; Humans; Male; Motivation; Pedestrians; Social Class; Social Perception; Visual Fields; Visual Perception; Walking; adult; attention; behavior; cognition; cultural anthropology; eye fixation; eye movement; facial expression; female; human; male; motivation; pedestrian; perception; physiology; psychology; social class; statistics and numerical data; vision; visual field; walking",Article,Final,,Scopus,2-s2.0-84994262647,Movies / Media
Liu S.; Lv J.; Hou Y.; Shoemaker T.; Dong Q.; Li K.; Liu T.,"Liu, Sidi (57191898594); Lv, Jinglei (58131694200); Hou, Yimin (14831207400); Shoemaker, Ting (57191900567); Dong, Qinglin (57190214381); Li, Kaiming (56949392800); Liu, Tianming (57203377182)",57191898594; 58131694200; 14831207400; 57191900567; 57190214381; 56949392800; 57203377182,What makes a good movie trailer? Interpretation from simultaneous EEG and eyetracker recording,2016,MM 2016 - Proceedings of the 2016 ACM Multimedia Conference,,,,82,86,4.0,14,10.1145/2964284.2967187,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994558913&doi=10.1145%2f2964284.2967187&partnerID=40&md5=307be18bfe465e20e598efc84f653cfc,"What makes a good movie trailer? It's a big challenge to answer this question because of the complexity of multimedia in both low level sensory features and high level semantic features. However, human perception and reactivity could be straightforward evidence for evaluation. Modern Electroencephalography (EEG) technology provides measurement of consequential brain neural activity to external stimuli. Meanwhile, visual perception and attention could be captured and interpreted by Eye Tracking technology. Intuitively, simultaneous EEG and Eye Tracker recording of human audience with multimedia stimuli could bridge the gap between human comprehension and multimedia analysis, and provide a new way for movie trailer evaluation. In this paper, we propose a novel platform to simultaneously record EEG and eye movement for participants with video stimuli by integrating 256-channel EEG, Eye Tracker and video display device as a system. Based on the proposed system a novel experiment has been designed, in which independent and joint features of EEG and Eye tracking data were mined to evaluate the movie trailer. Our analysis has shown interesting features that are corresponding with trailer quality and video shoot changes. © 2016 ACM..",Electroencephalography; Eye-Tracker; Multimedia evaluation,Brain; Display devices; Electrophysiology; Eye movements; Motion pictures; Neurons; Quality control; Semantics; External stimulus; Eye trackers; Eye tracking technologies; High-level semantic features; Human comprehensions; Multi-media analysis; Multimedia evaluation; Visual perception; Electroencephalography,Conference paper,Final,,Scopus,2-s2.0-84994558913,Movies / Media
Danie F.; Morize A.; Brémond-Gignac D.; Kapoula Z.,"Danie, François (56995697100); Morize, Aurélien (57192294921); Brémond-Gignac, Dominique (55905090900); Kapoula, Zoï (7003732501)",56995697100; 57192294921; 55905090900; 7003732501,Benefits from vergence rehabilitation: Evidence for improvement of reading saccades and fixations,2016,Frontiers in Integrative Neuroscience,10,Oct-16,33,,,,17,10.3389/fnint.2016.00033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003520718&doi=10.3389%2ffnint.2016.00033&partnerID=40&md5=724b8099ca7181e2fc6d29e68a432dcf,"We hypothesize that binocular coordination of saccades is based on continuous neuroplasticity involving interactions of saccades and vergence. To test this hypothesis we study reading saccades in young students who were diagnosed for vergence disorders before and after vergence rehabilitation. Following orthoptic evaluation and symptomatology screening, 5 weekly sessions of vergence rehabilitation were applied with the REMOBI vergence double step protocole (see Kapoula et al., 2016). Using the Eyeseecam videoculography device we measured vergence as well as saccades and fixations during a reading test four times: at the beginning and at the end of the first and of the fifth vergence rehabilitation session. The results show elimination of symptoms, improvement of clinical orthoptic scores, and importantly increase of measured vergence gain and reduction of inter-trial variability. Improvement of the vergence was associated to a decrease of the disconjugacy of saccades during reading but also to shortening of fixation durations, to reduction of the number of regressive saccades and to a better correction of the intra-saccadic disconjugacy during the following fixation. The results corroborate the hypothesis of neuroplasticity based on saccade vergence interaction in young adults. It validates the clinical validity of the vergence double-step REMOBI method as a means to improve both, vergence and reading performances. It opens a new research approach on the link between fine binocular coordination of saccades, quality of the vergence response, attention, cognition and reading. © 2016 Daniel, Morize, Brémond-Gignac and Kapoula.",Cognition; Fixation; Reading saccades; Rehabilitation; Vergence eye movements,adult; attention; binocular convergence; coordination; diagnosis; human; human experiment; nerve cell plasticity; reading test; rehabilitation; saccadic eye movement; screening; student; symptom; validity; young adult,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85003520718,Movies / Media
Li Y.; Xu X.; Mu N.; Chen L.,"Li, Yunyang (57192109289); Xu, Xin (56500865300); Mu, Nan (56669535500); Chen, Li (57192579689)",57192109289; 56500865300; 56669535500; 57192579689,Eye-gaze tracking system by haar cascade classifier,2016,"Proceedings of the 2016 IEEE 11th Conference on Industrial Electronics and Applications, ICIEA 2016",,,7603648,564,567,3.0,17,10.1109/ICIEA.2016.7603648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997191027&doi=10.1109%2fICIEA.2016.7603648&partnerID=40&md5=cd1c293c73543f9d53e96426b76563eb,"Human can quickly and effortlessly focus on a few most interesting points in an image. Different observers tend to have the same fixations towards the same scene. In order to predict observer's fixations, eye gaze information can be used to reveal human attention and interest. This paper presents a real-time eye gaze tracking system. Haar cascade classifier is used to calculate the position of eye gaze based on the rectangular features of human eye. Then this position is adopted to match the space coordinates of screen representing where an observer is looking. The experimental results from different kinds of scenes validate the effectiveness of our system. © 2016 IEEE.",eye gaze tracking; Haar cascade classifier; regions of interest; visual attention,Behavioral research; Classification (of information); Industrial electronics; Eye gaze tracking; Haar cascade classifiers; Human attention; Human eye; Interesting points; Regions of interest; Space coordinates; Visual Attention; Tracking (position),Conference paper,Final,,Scopus,2-s2.0-84997191027,Movies / Media
Dal Monte O.; Piva M.; Morris J.A.; Chang S.W.C.,"Dal Monte, Olga (36982886400); Piva, Matthew (55334500000); Morris, Jason A. (57198622021); Chang, Steve W. C. (55494250200)",36982886400; 55334500000; 57198622021; 55494250200,Live interaction distinctively shapes social gaze dynamics in rhesus macaques,2016,Journal of Neurophysiology,116,4,,1626,1643,17.0,19,10.1152/jn.00442.2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990020654&doi=10.1152%2fjn.00442.2016&partnerID=40&md5=772618f89cf00700143d698e2b3ab790,"The dynamic interaction of gaze between individuals is a hallmark of social cognition. However, very few studies have examined social gaze dynamics after mutual eye contact during real-time interactions. We used a highly quantifiable paradigm to assess social gaze dynamics between pairs of monkeys and modeled these dynamics using an exponential decay function to investigate sustained attention after mutual eye contact. When monkeys were interacting with real partners compared with static images and movies of the same monkeys, we found a significant increase in the proportion of fixations to the eyes and a smaller dispersion of fixations around the eyes, indicating enhanced focal attention to the eye region. Notably, dominance and familiarity between the interacting pairs induced separable components of gaze dynamics that were unique to live interactions. Gaze dynamics of dominant monkeys after mutual eye contact were associated with a greater number of fixations to the eyes, whereas those of familiar pairs were associated with a faster rate of decrease in this eye-directed attention. Our findings endorse the notion that certain key aspects of social cognition are only captured during interactive social contexts and dependent on the elapsed time relative to socially meaningful events. © 2016 the American Physiological Society.",Dual eye-tracking; Eye contact; Gaze dynamics; Live interaction; Social gaze,"Analysis of Variance; Animals; Attention; Cognition; Eye Movement Measurements; Eye Movements; Female; Head; Macaca mulatta; Male; Models, Theoretical; Photic Stimulation; Psychological Tests; Recognition (Psychology); Restraint, Physical; Sex Characteristics; Social Behavior; Time Factors; adult; animal behavior; animal experiment; Article; binocular convergence; eye fixation; female; gaze; macaque model; male; nonhuman; priority journal; rhesus monkey; sex difference; social cognition; social environment; social interaction; analysis of variance; animal; attention; cognition; exercise; eye movement; head; oculography; photostimulation; psychologic test; psychology; recognition; sexual development; social behavior; theoretical model; time factor",Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-84990020654,Movies / Media
Shayan S.; Abrahamson D.; Bakker A.; Duijzer C.A.C.G.; Van Der Schaaf M.,"Shayan, Shakila (36988351500); Abrahamson, Dor (14624980700); Bakker, Arthur (9634128500); Duijzer, Carolien A. C. G. (57193444406); Van Der Schaaf, Marieke (8617998100)",36988351500; 14624980700; 9634128500; 57193444406; 8617998100,Eye-tracking the emergence of attentional anchors in a mathematics learning tablet activity,2016,Eye-Tracking Technology Applications in Educational Research,,,,166,194,28.0,21,10.4018/978-1-5225-1005-5.ch009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016506487&doi=10.4018%2f978-1-5225-1005-5.ch009&partnerID=40&md5=1a1437e6c2040db80d4972296e2f9897,"Little is known about micro-processes by which sensorimotor interaction gives rise to conceptual development. Per embodiment theory, these micro-processes are mediated by dynamical attentional structures. Accordingly this study investigated eye-gaze behaviors during engagement in solving tablet-based bimanual manipulation tasks designed to foster proportional reasoning. Seventy-six elementary- and vocational-school students (9-15 yo) participated in individual task-based clinical interviews. Data gathered included action-logging, eye-tracking, and videography. Analyses revealed the emergence of stable eye-path gaze patterns contemporaneous with first enactments of effective manipulation and prior to verbal articulations of manipulation strategies. Characteristic gaze patterns included consistent or recurring attention to screen locations that bore non-salient stimuli or no stimuli at all yet bore invariant geometric relations to dynamical salient features. Arguably, this research validates empirically hypothetical constructs from constructivism, particularly reflective abstraction. © 2017 by IGI Global. All rights reserved.",,,Book chapter,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85016506487,Movies / Media
Drost R.; Casteel M.; Libarkin J.; Thomas S.; Meister M.,"Drost, Robert (55550919100); Casteel, Mark (56052266500); Libarkin, Julie (8303685700); Thomas, Stephen (56623717900); Meister, Matt (57196488611)",55550919100; 56052266500; 8303685700; 56623717900; 57196488611,Severe weather warning communication: Factors impacting audience attention and retention of information during tornado warnings,2016,"Weather, Climate, and Society",8,4,,361,372,11.0,20,10.1175/WCAS-D-15-0035.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991824203&doi=10.1175%2fWCAS-D-15-0035.1&partnerID=40&md5=655095796c1eb4f664c24bf57488681e,"Weather hazards in the United States inflict both personal and economic tolls on the public. Communicating warnings about weather hazards is an important duty of TV weathercasters. Televised weather warnings are typically conveyed through live radar, live coverage, and warning scrolls.However, these traditional approaches may not be entirely effective given the limited attention some members of the public pay to these warnings. A study comparing individual responses to a traditional warning, an animated warning, and an audio warning was undertaken to evaluate the impact of delivery methods on viewer attention, retention, and preferences during viewing of severe weather warnings.ATobii T60 eye tracker was used to document visual interactions with onscreen warnings and surveys were used to collect evidence of warning retention and preference. Demographic variables were also collected to describe the study population. Results indicate that viewers of the animated warning retained more pertinent information about the tornado warning than viewers of the traditional warning, and retention during the traditional warning was equivalent to that of the audio warning. In addition, gaze patterns for the traditional warning were muchmore diffuse than for the animatedwarning, suggesting that attention was more focused on the animation than the live video. In addition, modifications to reduce visual complexity of traditional warnings may positively impact viewer attention to individual warning elements. Future studies will consider the effectiveness of a hybrid warning containing both traditional and animated components.The current research study can be used to advance current severeweather warning communication techniques and increase public awareness during severe weather events. © 2016 American Meteorological Society.",,United States; demographic survey; hazard assessment; information management; information system; radar; social media; tornado; warning system; weather forecasting,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84991824203,Movies / Media
Lander C.,"Lander, Christian (55785449200)",55785449200,Methods for calibration free and multi-user eye tracking,2016,"Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct, MobileHCI 2016",,,,899,900,1.0,5,10.1145/2957265.2963116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991101939&doi=10.1145%2f2957265.2963116&partnerID=40&md5=e021f95674ada55ac8ad2baf1ffa90a8,"Human beings sense and perceive most of the world through their eyes. The point of gaze clearly reflects our visual attention indicating our interests. Hence gaze can be used as a powerful tool in different research areas (e.g., marketing, psychology). The progress made over the years in eye tracking enables the creation of gaze-based interactive interfaces. However, these interfaces lack of generic usability outside a controlled environment in a spontaneous pervasive way. The main objective of this research is to investigate eye-tracking technologies by means of calibration. Since calibration is user, location, orientation and target dependent, it prevents from Multi-User interaction and gaze estimation on multiple various objects (e.g., multiple screens of different sizes). Tackling these issues, new mobile as well as remote interfaces are explored and new design spaces are opened.",Calibration; Eye tracking; Gaze; Multi-user,Behavioral research; Calibration; Mobile devices; Controlled environment; Eye tracking technologies; Eye-tracking; Gaze; Interactive interfaces; Multi-user; Multi-user interaction; Remote interfaces; Human computer interaction,Conference paper,Final,,Scopus,2-s2.0-84991101939,Movies / Media
Müller N.; Baumeister S.; Dziobek I.; Banaschewski T.; Poustka L.,"Müller, Nico (57194605525); Baumeister, Sarah (57210652265); Dziobek, Isabel (14023902800); Banaschewski, Tobias (6603935963); Poustka, Luise (12798596800)",57194605525; 57210652265; 14023902800; 6603935963; 12798596800,Validation of the Movie for the Assessment of Social Cognition in Adolescents with ASD: Fixation Duration and Pupil Dilation as Predictors of Performance,2016,Journal of Autism and Developmental Disorders,46,9,,2831,2844,13.0,43,10.1007/s10803-016-2828-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982856717&doi=10.1007%2fs10803-016-2828-z&partnerID=40&md5=ceef124e91ac55074921672fe23e6ed9,"Impaired social cognition is one of the core characteristics of autism spectrum disorders (ASD). Appropriate measures of social cognition for high-functioning adolescents with ASD are, however, lacking. The Movie for the Assessment of Social Cognition (MASC) uses dynamic social stimuli, ensuring ecological validity, and has proven to be a sensitive measure in adulthood. In the current study, 33 adolescents with ASD and 23 controls were administered the MASC, while concurrent eye tracking was used to relate gaze behavior to performance levels. The ASD group exhibited reduced MASC scores, with social cognition performance being explained by shorter fixation duration on eyes and decreased pupil dilation. These potential diagnostic markers are discussed as indicators of different processing of social information in ASD. © 2016, Springer Science+Business Media New York.",Adolescence; Autism spectrum disorder; Ecological validity; Eye-tracking; Pupil dilation; Social cognition,Adolescent; Autism Spectrum Disorder; Case-Control Studies; Cognition; Dilatation; Eye Movements; Female; Humans; Male; Motion Pictures as Topic; Pupil; Social Behavior; Time Factors; adolescent; Article; autism; clinical article; cognition assessment; controlled study; discriminant validity; eye tracking; female; gaze; human; internal consistency; male; movie; movie for the assessment of social cognition; priority journal; social cognition; Autism Spectrum Disorder; case control study; cognition; dilatation; eye movement; movie; pathophysiology; physiology; psychology; pupil; social behavior; time factor; validation study,Article,Final,,Scopus,2-s2.0-84982856717,Movies / Media
Chynal P.; Sobecki J.,"Chynal, Piotr (36647291800); Sobecki, Janusz (6602425969)",36647291800; 6602425969,Application of thermal imaging camera in eye tracking evaluation,2016,"Proceedings - 2016 9th International Conference on Human System Interactions, HSI 2016",,,7529673,451,457,6.0,2,10.1109/HSI.2016.7529673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992183862&doi=10.1109%2fHSI.2016.7529673&partnerID=40&md5=b6d905b3544cb413181de0b6dc85d577,"This paper presents a method for applying a thermal imaging camera to enhance eyetracking usability testing. The first part of the article introduces the eye tracking, one of the most popular usability evaluation method. Eyetracking records the position of participants' gaze on the screen with a dedicated camera. Eyetracking is a very efficient usability testing method. It allows determining which elements of user interface attract users' attention and which are not noticed by them. The second part of the article focuses on thermal imaging camera. Some theoretical background is provided on how such cameras work. Furthermore, paper contains instructions on how to conduct usability testing using eyetracker and the infrared camera, as well as a description of a case study - evaluation of SimplyTick web application. The proposed method allows researchers to enhance the standard eye tracking test with recording of thermal image of the participant's face, from which it is possible to recognize emotions during the course of the study. This enables us to obtain an extra measure of usability associated with emotions and user satisfaction. © 2016 IEEE.",emotion recognition; eye tracking; HCI; thermal imaging; usability,Human computer interaction; Image recording; Infrared imaging; Temperature indicating cameras; Usability engineering; User interfaces; Emotion recognition; Eye-tracking; Infra-red cameras; Thermal imaging cameras; usability; Usability evaluation methods; Usability testing methods; User satisfaction; Cameras,Conference paper,Final,,Scopus,2-s2.0-84992183862,Movies / Media
Vonk J.,"Vonk, Jennifer (7006334135)",7006334135,Apes have eyes to the future,2016,Learning and Behavior,44,3,,207,208,1.0,0,10.3758/s13420-016-0213-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983744531&doi=10.3758%2fs13420-016-0213-6&partnerID=40&md5=d843df5c5731baac6455ed7c5a481cdf,"Kano and Hirata (Current Biology, 25, 2513–2517, 2015) recently showed that apes process object and location information and anticipate the repeated presentation of such events in short film clips. Their methodology, using eyetracking, can provide a foundation for further explications of long-term prospective and episodic memory in nonverbal species. © 2016, Psychonomic Society, Inc.",Anticipation; Apes; Episodic memory; Eye-tracking,"Animals; Cognition; Hominidae; Memory, Episodic; Nigeria; animal; cognition; episodic memory; hominid; Nigeria",Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84983744531,Movies / Media
Jariwala K.; Dalal U.; Vincent A.,"Jariwala, Krupa (57191608233); Dalal, Upena (56032021200); Vincent, Amal (57203514766)",57191608233; 56032021200; 57203514766,A robust eye gaze estimation using geometric eye features,2016,"2016 3rd International Conference on Digital Information Processing, Data Mining, and Wireless Communications, DIPDMWC 2016",,,7529379,142,147,5.0,4,10.1109/DIPDMWC.2016.7529379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992036178&doi=10.1109%2fDIPDMWC.2016.7529379&partnerID=40&md5=3bbdf6438fe8cc122752cce20a5f2821,"Gaze estimation is the process of determining the point of gaze in the space, or the visual axis of an eye. It plays an important role in representing human attention; therefore, it can be most appropriately used in Human Computer Interaction as a means of an advance computer input. Here, the focus is to develop a gaze estimation method for Human Computer Interaction using an ordinary webcam mounted on the top of the computer screen without any additional or specialized hardware. The eye center coordinates are obtained with the geometrical eye model and edge gradients. To improve the reliability, the estimates from two eye centers are combined to reduce the noise and improve the accuracy. Facial land marking is done to identify a precise reference point on the face between the nose. The ellipse fitting and RANSAC method is used to estimate the gaze coordinates and to reject the outliers. This approach can estimate the gaze coordinates with high degree of accuracy even when significant numbers of outliers are present in the data set. Several refinements such as feedback and masking, queuing and averaging are proposed to make the system more stable and useful practically. The results show that the proposed method can be successfully applied to commercial gaze tracking systems using ordinary webcams. © 2016 IEEE.",computer vision; eye tracking; image processing,Computer hardware; Computer vision; Data handling; Data mining; Image processing; Information science; Statistics; Tracking (position); Wireless telecommunication systems; Computer screens; Eye-tracking; Gaze estimation; Gaze tracking system; High degree of accuracy; Human attention; Reference points; Specialized hardware; Human computer interaction,Conference paper,Final,,Scopus,2-s2.0-84992036178,Movies / Media
