Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Domain
Amat A.Z.; Zhao H.; Swanson A.; Weitlauf A.S.; Warren Z.; Sarkar N.,"Amat, Ashwaq Z. (57203133051); Zhao, Huan (56963017900); Swanson, Amy (53265026200); Weitlauf, Amy S. (57191707622); Warren, Zachary (25032282500); Sarkar, Nilanjan (7201361624)",57203133051; 56963017900; 53265026200; 57191707622; 25032282500; 7201361624,"Design of an Interactive Virtual Reality System, InViRS, for Joint Attention Practice in Autistic Children",2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,29,,,1866,1876,10.0,47,10.1109/TNSRE.2021.3108351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115432533&doi=10.1109%2fTNSRE.2021.3108351&partnerID=40&md5=f890fcefb7d1f7d5fa99f0fb0109fb73,"Many children with Autism Spectrum Disorder (ASD) exhibit atypical gaze behaviors related to joint attention, a fundamental social-communication skill. Specifically, children with ASD show differences in the skills of gaze sharing and gaze following. In this work we present a novel virtual reality (VR)-based system, called InViRS, in which children with ASD play games allowing them to practice gaze sharing and gaze following. InViRS has three main design contributions: (i) a closed-loop joint attention paradigm with real-time tracking of the participant's eye gaze and game performance measures, (ii) an assistive feedback mechanism that provides guidance and hints in real time, and (iii) a controller that adaptively changes the avatar's gaze prompts according to the performance measures. Results from a pilot study to evaluate the feasibility of InViRS with 9 autistic1 children and 9 typically developing (TD) children offered preliminary support for the feasibility of successful gameplay as well as positive impacts on the targeted skills of gaze sharing and gaze following.  © 2001-2011 IEEE.",Autism; autonomous systems; gaze tracking; human computer interaction; Intelligent system; joint attention; virtual reality,"Attention; Autism Spectrum Disorder; Autistic Disorder; Child; Fixation, Ocular; Humans; Pilot Projects; Virtual Reality; Diseases; Eye tracking; Human computer interaction; Intelligent systems; Atypicals; Autism spectrum disorders; Autistic children; Autonomous system; Children with autisms; Gaze-tracking; Interactive virtual reality; Joint attention; Performance measure; Virtual reality system; adolescent; Article; astrocyte; attention; autism; Autism Diagnostic Observation Schedule; child; clinical article; communication skill; computer assisted tomography; controlled study; eye tracking; facial recognition; feasibility study; feedback system; female; gaze; head movement; human; human computer interaction; imagery; joint; learning disorder; male; perception; skill; social adaptation; Social Communication Questionnaire; Social Responsivenesss scale; task performance; training; video game; virtual reality; visual acuity; attention; eye fixation; pilot study; Virtual reality",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85115432533,Gaming / VR
Beitner J.; Helbing J.; Draschkow D.; Võ M.L.H.,"Beitner, Julia (57203870149); Helbing, Jason (57214221531); Draschkow, Dejan (56270096800); Võ, Melissa L.- H. (9634349400)",57203870149; 57214221531; 56270096800; 9634349400,Get your guidance going: Investigating the activation of spatial priors for efficient search in virtual reality,2021,Brain Sciences,11,1,44,1,17,16.0,19,10.3390/brainsci11010044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099750756&doi=10.3390%2fbrainsci11010044&partnerID=40&md5=f74394516f98bb165ab9f796bd284374,"Repeated search studies are a hallmark in the investigation of the interplay between memory and attention. Due to a usually employed averaging, a substantial decrease in response times occurring between the first and second search through the same search environment is rarely discussed. This search initiation effect is often the most dramatic decrease in search times in a series of sequential searches. The nature of this initial lack of search efficiency has thus far remained unexplored. We tested the hypothesis that the activation of spatial priors leads to this search efficiency profile. Before searching repeatedly through scenes in VR, participants either (1) previewed the scene, (2) saw an interrupted preview, or (3) started searching immediately. The search initiation effect was present in the latter condition but in neither of the preview conditions. Eye movement metrics revealed that the locus of this effect lies in search guidance instead of search initiation or decision time, and was beyond effects of object learning or incidental memory. Our study suggests that upon visual processing of an environment, a process of activating spatial priors to enable orientation is initiated, which takes a toll on search time at first, but once activated it can be used to guide subsequent searches. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Incidental memory; Repeated search; Virtual reality; Visual search,adult; article; eye movement; human; learning; memory; virtual reality; vision,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85099750756,Gaming / VR
Lee J.; Kim W.; Kim J.; Lee S.,"Lee, Jeonghaeng (57536763400); Kim, Woojae (56939502800); Kim, Jinwoo (58105917500); Lee, Sanghoon (55746172800)",57536763400; 56939502800; 58105917500; 55746172800,A Study on Virtual Reality Sickness and Visual Attention,2021,"2021 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference, APSIPA ASC 2021 - Proceedings",,,,1465,1469,4.0,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126724127&partnerID=40&md5=2e470132d0955c22cdc481c0d26be670,"It is a well-known fact that virtual reality (VR) sickness is an obstacle to an immersive VR experience, however, an objective analysis of the physiological responses for VR sickness has been insufficient. In this study, our analysis uncovers how the users' visual attention varies with the level of VR sickness and how the level of VR sickness influences the center-bias tendency. Toward this, we first conduct a large-scale eye-tracking experiment of 21 inexperienced users while they experience VR sickness-oriented database VR-SP [15]. Then, we quantify the tendency of visual behavior according to VR sickness. To do this, we newly define a visual entropy measurement of VR visual attention. The experimental results clearly suggest that the center-bias effect becomes stronger as the degree of VR sickness increases. In other words, this implies that the users' explorativeness in VR content may be restricted by the VR sickness and this leads to the restraint of the immersive experience. For a more clear demonstration, we also show the visual entropy can be used to predict VR sickness with an accuracy of 80% on the VR-SP database.  © 2021 APSIPA.",,Behavioral research; Diseases; Entropy; Eye tracking; Physiological models; Center bias; Entropy measurement; Eye-tracking; Immersive virtual reality; Large-scales; Objective analysis; Physiological response; Virtual reality experiences; Visual Attention; Visual behavior; Virtual reality,Conference paper,Final,,Scopus,2-s2.0-85126724127,Gaming / VR
Shojaee A.; Kim H.W.; Cook-Chennault K.; Alarcon I.V.,"Shojaee, Amirbahador (57435037300); Kim, Hyeon Woo (57435175500); Cook-Chennault, Kimberly (25651701700); Alarcon, Idalis Villanueva (56740595400)",57435037300; 57435175500; 25651701700; 56740595400,What you see is what you get? - Relating eye-tracking metrics to students' attention to game elements,2021,"Proceedings - Frontiers in Education Conference, FIE",2021-October,,,,,,5,10.1109/FIE49875.2021.9637372,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123540923&doi=10.1109%2fFIE49875.2021.9637372&partnerID=40&md5=57c2d3e5a5cbce041aba77f2494856b6,"Though engineering digital game inclusion in undergraduate classrooms has steadily increased over the last two decades for in-person courses, their use has exponentially increased in remote and contactless higher education learning environments. Studies exploring student technological acceptance of and content mastery from the use of engineering digital games have provided mixed results in terms of student enjoyment, engagement, and game effectiveness. The majority of these studies have relied on pre- and post-questionnaires to assess differences in students' gaming experiences and performance in the game and learning environment. However, quantitative methods such as the measurement of physiological responses during gameplay have been less explored for the exploration of student engagement and education. The goal of this work is to explore how a set of eye - tracking metrics can be related to gamer attention to in-game stimuli and game interface areas of interest.  © 2021 IEEE.",digital game; engineering education game; eye tracking; mixed methods analysis; undergraduate,Computer aided instruction; E-learning; Engineering education; Eye tracking; Physiological models; Students; Surveys; Digital games; Education game; Engineering education game; Eye-tracking; Game elements; Learning environments; Method analysis; Mixed method; Mixed method analyse; Undergraduate; Computer games,Conference paper,Final,,Scopus,2-s2.0-85123540923,Gaming / VR
Yousefzadeh C.; Van Rynbach A.; Bryant D.; Bos P.,"Yousefzadeh, Comrun (57200619221); Van Rynbach, Andre (36571257200); Bryant, Doug (7202225605); Bos, Philip (35570104600)",57200619221; 36571257200; 7202225605; 35570104600,Continuous high-efficiency beam deflector for ar/vr devices,2021,Digest of Technical Papers - SID International Symposium,52,1,,402,405,3.0,2,10.1002/sdtp.14701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113830574&doi=10.1002%2fsdtp.14701&partnerID=40&md5=69b027f610ca1eb8fab23da776ee76c4,"The use of Augmented/Virtual Reality (AR/VR) and near-eye displays (NED) can cause eye fatigue due to the mismatch of the accommodation and convergence (AC) distances. Maxwellian view displays (retina-projection display) have the potential to bypass AC mismatch by projecting the image directly onto the retina. In this approach, the final image always stays in focus at the retina by converging the rays at the eye pupil, therefore, making tthe focus depth independent. However, the narrow eyebox size can hinder the employment of this approach. Therefore, there is a need for a beam steering device with highefficiency, continuous steering capabilities that, in combination with an eye-tracking system, could expand the application of AR/VR systems. In this paper, we represent a novel approach to a fully tunable beam steering device based on the PancharatnamBerry phase in a liquid crystal. This device maintains a high efficiency that, along with an eye-tracking system, can potentially address the limitations in Maxwellian view systems. © 2021 SID.",AR/VR devices; Beam steering device; Fringe Field Switching; Liquid-crystal beam steering; Maxwellian view systems; Opto-Electronic device; Pancharatnam-Berry’s phase,Efficiency; Liquid crystals; Augmented/virtual reality; Beam deflectors; Beam steering devices; Continuous steering; Eye tracking systems; High-efficiency; Pancharatnam-Berry phase; Projection displays; Eye tracking,Conference paper,Final,,Scopus,2-s2.0-85113830574,Gaming / VR
Sedghikhanshir A.; Zhu Y.,"Sedghikhanshir, Alireza (57441099700); Zhu, Yimin (57208037171)",57441099700; 57208037171,Exploring the Impact of Visual Properties of Natural Objects on Attention in Both Real and Virtual Office Environment: A Pilot Study,2021,Computing in Civil Engineering 2021 - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2021,,,,1384,1392,8.0,3,10.1061/9780784483893.169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132583727&doi=10.1061%2f9780784483893.169&partnerID=40&md5=24e8dd3cc0d1f191691ee24002e8e0c2,"Human visual attention to natural objects could change their stress levels in indoor environments. However, the impact of objects' properties as visual stimuli on people in virtual environments has been not understood yet. Consequently, the lack of understanding may prevent researchers from using virtual environments as a reliable tool to support the design of indoor environments with a combination of natural and non-natural objects. We hypothesize that attention to the natural elements differs among objects with different visual properties. Accordingly, we conducted an experimental study to investigate the influences of visual properties (type of natural objects, size, and location). Twenty participants were assigned to experience one of the two comparable office settings (real versus virtual), including three natural objects. The fixation time was measured by the eye-tracking method for the natural objects in conjunction with non-natural objects. The initial analysis showed that the fixation time of natural objects in VR was not different from the real condition. Additionally, different fixation times of objects varied in visual properties suggested that visual properties affect human attention to various objects. © 2021 Computing in Civil Engineering 2021 - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2021. All rights reserved.",,Behavioral research; Eye tracking; Fixation time; Human visual attention; Indoor environment; Natural objects; Object property; Office environments; Pilot studies; Stress levels; Virtual office; Visual properties; Virtual reality,Conference paper,Final,,Scopus,2-s2.0-85132583727,Gaming / VR
Lalwani R.; Chouhan A.; John V.; Sonar P.; Mahajan A.; Pendyala N.; Streicher A.; Prabhune A.,"Lalwani, Riya (57501184700); Chouhan, Ashish (57211662283); John, Varun (57302204600); Sonar, Prashant (57499309900); Mahajan, Aakash (57506771600); Pendyala, Naresh (57493664300); Streicher, Alexander (37162259500); Prabhune, Ajinkya (56534978900)",57501184700; 57211662283; 57302204600; 57499309900; 57506771600; 57493664300; 37162259500; 56534978900,I-Mouse: A Framework for Player Assistance in Adaptive Serious Games,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12749 LNAI,,,234,238,4.0,2,10.1007/978-3-030-78270-2_42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125084491&doi=10.1007%2f978-3-030-78270-2_42&partnerID=40&md5=60e21d5d1fb205514d6bbc376ae923c2,"A serious game is an educational digital game created to entertain and achieve characterizing goal to promote learning. However, a serious game’s major challenge is capturing and sustaining player attention and motivation, thus restricting learning abilities. Adaptive frameworks in serious games (Adaptive serious games) tackle the challenge by automatically assisting players in balancing boredom and frustration. The current state-of-the-art in Adaptive serious games targets modeling a player’s cognitive states by considering eye-tracking characteristics like gaze, fixation, pupil diameter, or mouse tracking characteristics such as mouse positions. However, a combination of eye and mouse tracking characteristics has seldom been used. Hence, we present I-Mouse, a framework for predicting the need for player assistance in educational serious games through a combination of eye and mouse-tracking data. I-Mouse framework comprises four steps: (a) Feature generation for identifying cognitive states, (b) Partition clustering for player state modeling, (c) Data balancing of the clustered data, and (d) Classification to predict the need for assistance. We evaluate the framework using a real game data set to predict the need for assistance, and Random Forest is the best performing model with an accuracy of 99% amongst the trained classification models. © Springer Nature Switzerland AG 2021.",Adaptivity; Eye and mouse tracking; Serious games,Classification (of information); Decision trees; Eye tracking; Learning systems; Mammals; Serious games; 'current; Adaptive framework; Adaptive serious games; Adaptivity; Cognitive state; Digital games; Eye and mouse tracking; Learning abilities; State of the art; Target model; Forecasting,Conference paper,Final,,Scopus,2-s2.0-85125084491,Gaming / VR
Bruni L.E.; Dini H.; Simonetti A.,"Bruni, Luis Emilio (36338567900); Dini, Hossein (57210580632); Simonetti, Aline (57211819253)",36338567900; 57210580632; 57211819253,Narrative Cognition in Mixed Reality Systems: Towards an Empirical Framework,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12770 LNCS,,,3,17,14.0,9,10.1007/978-3-030-77599-5_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112139725&doi=10.1007%2f978-3-030-77599-5_1&partnerID=40&md5=da105c16d034490f6ce39ebc290fd9e0,"In this paper, we propose an interdisciplinary theoretical and empirical framework to investigate the particular faculties related to human “narrative cognition”, in general, and in relation to MRT in particular. In order to contextualize our approach, we shortly review the cognitive turn in narratology, as well as state of the art in different domains that have undertaken psychophysiological studies that either characterize aspects that are relevant to narrative cognition, or which investigate mixed reality experiences. The idea is to bring together knowledge and insights from narratology, different branches of semiotics and cognitive sciences, with empirical strategies that bridge the gap between first-person phenomenological approaches and psychophysiological and behavioural methods. We propose a rationale in order to combine tools and techniques from MRT/VR/AR, interactive digital narratives and storytelling, with a suite of integrated psychophysiological methods (such as EEG, HR, GSR and eye tracking) and phenomenological-subjective approaches. © 2021, Springer Nature Switzerland AG.",Electroencephalogram (EEG); Interactive narratives; Mixed reality technologies; Narrative cognition; Phenomenology; Psychophysiology; VR,Eye tracking; Mixed reality; Psychophysiology; Contextualize; Different domains; Electroencephalogram; Interactive narrative; Mixed reality systems; Mixed reality technologies; Narrative cognition; Phenomenology; State of the art; VR; Electroencephalography,Conference paper,Final,,Scopus,2-s2.0-85112139725,Gaming / VR
Wanyu P.E.I.; Xiangmin G.U.O.; Tiantian L.O.,"Wanyu, P.E.I. (57223113785); Xiangmin, G.U.O. (36571734100); Tiantian, L.O. (57223112124)",57223113785; 36571734100; 57223112124,Detecting virtual perception based on multi-dimensional biofeedback: A method to pre-evaluate architectural design objectives,2021,"Projections - Proceedings of the 26th International Conference of the Association for Computer-Aided Architectural Design Research in Asia, CAADRIA 2021",2,,,183,192,9.0,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104850928&partnerID=40&md5=8f0959cb1d33bee7d6c50d8595eaa159,"In the information age, the attention to architectural design has gradually shifted from spatial aesthetics to the human's spatial experience. The situation of human perception becomes essential feedback information that designers can use to improve the design schemes. This research proposes an auxiliary method for pre-evaluating the architectural design goals and providing recommendations for architects to optimize the scheme. Specifically, by aggregating and quantitative analyzing electrophysiological signals and eye-tracking data, this research obtained the user's spatial perception with little effect of subjective consciousness as their feedback on the architectural environment. We took the campus outdoor space of an International School of Design as the research sample. By combining the architect's design concept and objectives, we constructed the contrast spatial schemes in virtual reality (VR) for users to experience and analyzed the usability of this method when pre-evaluate design objectives in a practical project. © 2021 and published by the Association for Computer-Aided Architectural Design Research in Asia (CAADRIA), Hong Kong.",Architectural design objectives; Multi-dimensional biofeedback; Pre-evaluation; Virtual reality,Biofeedback; Electrophysiology; Eye tracking; User experience; Architectural environment; Design objectives; Feed back information; Human perception; Multi dimensional; Practical projects; Quantitative analyzing; Spatial perception; Architectural design,Conference paper,Final,,Scopus,2-s2.0-85104850928,Gaming / VR
Sakamoto K.; Hashimoto S.; Tguchi M.; Hase K.,"Sakamoto, Kenta (57824700100); Hashimoto, Shingo (57215191565); Tguchi, Meguru (57824302400); Hase, Kimitaka (7006073396)",57824700100; 57215191565; 57824302400; 7006073396,Development and expand of 3D rehabilitation system using Mixed Reality technology,2021,Transactions of Japanese Society for Medical and Biological Engineering,Annual59,Proc,,808,810,2.0,0,10.11239/jsmbe.Annual59.808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135198553&doi=10.11239%2fjsmbe.Annual59.808&partnerID=40&md5=baf51f7bea30d8fbe10b02521cc04328,"Patients often refuse desk training and test of cognitive function that hasn't changed since about 50 years ago. On the other hand, the tasks using Mixed Reality (MR) have the advantage and maintain patient's motivation easily. We have been developed cognitive rehabilitation tasks using MR in collaboration with Kansai Medical University. At present, we develop a novel rehabilitation system by using Microsoft HoloLens2, based on previous experience and knowledge. We created ""numbers cancellation task"" that imitated the Trail Making Test, ""flower path task"" for dual tasks, and ""search task"" based on daily life. We devised a select method for many clinical situations. This system enables us to move the cursor by head tracking or eye tracking, and we can select the objects by tapping or gazing. Additionally, there are also two-mode, ""touch"" and ""pinch"", as the hand tracking function. Therapists can confirm the patient's first-person view (real space and virtual reality object) on the PC in real-time. Thus, when they are performing the task, it is possible to understand whether or not the patients are correctly instructed by advice. © 2021, Japan Soc. of Med. Electronics and Biol. Engineering. All rights reserved.",cognitive function; HoloLens2; Mixed reality; rehabilitation,Brain; Eye tracking; Patient rehabilitation; Cognitive functions; Cognitive rehabilitation; Dual-tasks; Hololens2; MicroSoft; Mixed reality; Mixed reality technologies; Rehabilitation System; Search tasks; Trail making tests; adult; article; cancellation test; cognition; cognitive rehabilitation; eye tracking; flower; human; rehabilitation; touch; trail making test; virtual reality; Mixed reality,Article,Final,,Scopus,2-s2.0-85135198553,Gaming / VR
Tuah N.M.; Nizam D.N.M.; Sani Z.H.A.,"Tuah, Nooralisa Mohd (36663223300); Nizam, Dinna Nina Mohd (54929854900); Sani, Zaidatol Haslinda A. (46461837200)",36663223300; 54929854900; 46461837200,Modelling the Player and Avatar Attachment based on Student’s Engagement and Attention in Educational Games,2021,International Journal of Advanced Computer Science and Applications,12,7,,353,360,7.0,2,10.14569/IJACSA.2021.0120740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112179669&doi=10.14569%2fIJACSA.2021.0120740&partnerID=40&md5=8a2c354dbe244362c052de3f5f93884e,"The Player and Avatar attachment help to motivate a student to strengthen their engagement in gameplay. The different types of avatar designs deployed in a game have an impact on students’ engagements. The avatars are designed with different roles, wherein each role offers varying motivational effects on students’ engagement. Several research in human and computer interaction have assessed user engagement and user attention in a computer or system application as well as in gameplay. Among the usual approaches to assess user engagement are using questionnaire and eye-tracking. Investigating the possible use of these approaches in determining the player and avatar attachment, particularly the attachment that associated with the various avatar designs and their effect on students’ engagement are inconclusive and remains untapped. Essentially, studying students’ engagement and attention perception while learning enriches one’s comprehension about engagement in the education segment. As such, this study proposes a new model of player and avatar attachment based on the students’ engagement and focus attention on the gameplay of digital educational games (DEGs). The model is developed follows a stepwise approach consisting component identification, relationship of the components, model development, and model validation. Several components were scrutinized, summarized, and developed into the model proposed in this study. A significant attachment can determine the avatar design that may influence a student’s engagement in gameplay. Hence, this study offers several constructive recommendations for future avatars in game design for education purpose, which may validate the user’s engagement based on his or her focus attention. © 2021. All Rights Reserved.",attention; Avatar; digital educational games; engagement,Computer games; E-learning; Education computing; Eye tracking; Game design; Human computer interaction; Interactive computer graphics; Attention; Avatar; Avatar designs; Digital educational game; Educational game; Engagement; Gameplay; Humaninteraction; Student engagement; User engagement; Students,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85112179669,Gaming / VR
Macari S.; Milgramm A.; Reed J.; Shic F.; Powell K.K.; Macris D.; Chawarska K.,"Macari, Suzanne (23009558600); Milgramm, Anna (57210980167); Reed, Jessa (58416610300); Shic, Frederick (6507802882); Powell, Kelly K. (57077873300); Macris, Deanna (42561440300); Chawarska, Katarzyna (6505972503)",23009558600; 57210980167; 58416610300; 6507802882; 57077873300; 42561440300; 6505972503,Context-Specific Dyadic Attention Vulnerabilities During the First Year in Infants Later Developing Autism Spectrum Disorder,2021,Journal of the American Academy of Child and Adolescent Psychiatry,60,1,,166,175,9.0,37,10.1016/j.jaac.2019.12.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086396014&doi=10.1016%2fj.jaac.2019.12.012&partnerID=40&md5=7eaed1eb958d6d500dc76ee079f12b6f,"Objective: Although some eye-tracking studies demonstrate atypical attention to faces by 6 months of age in autism spectrum disorder (ASD), behavioral studies in early infancy return largely negative results. We examined the effects of context and diagnosis on attention to faces during face-to-face live interactions in infants at high familial risk (HR) and low familial risk (LR) for ASD. Method: Participants were 6-, 9-, and 12-month-old siblings of children with ASD who were later determined to have ASD (n = 21), other developmental challenges (HR-C; n = 74), or typical development (TD) (HR-TD; n = 32), and low-risk, typically developing controls (LR-TD; n = 49). Infants were administered the social orienting probes task, consisting of five conditions: dyadic bid, song, peek-a-boo, tickle, and toy play. Attention to an unfamiliar examiner's face was coded by blinded raters from video recordings. Results: At all ages, the ASD group spent less time looking at the examiner's face than the HR-C, HR-TD, and LR-TD groups during the Dyadic Bid and Tickle conditions (all p <.05), but not during the Song, Peek-a-Boo, or Toy Play conditions (all p >.23). Lower attention to faces during Dyadic Bid and Tickle conditions was significantly correlated with higher severity of autism symptoms at 18 months. Conclusion: During the prodromal stages of the disorder, infants with ASD exhibited subtle impairments in attention to faces of interactive partners during interactions involving eye contact and child-directed speech (with and without physical contact), but not in contexts involving singing, familiar anticipatory games, or toy play. Considering the convergence with eye-tracking findings on limited attention to faces in infants later diagnosed with ASD, reduced attention to faces of interactive partners in specific contexts may constitute a promising candidate behavioral marker of ASD in infancy. © 2020 American Academy of Child and Adolescent Psychiatry",attention; autism; infancy; social behavior; social interaction,Autism Spectrum Disorder; Child; Humans; Infant; Risk; Siblings; Article; attention disturbance; autism; Autism Diagnostic Observation Schedule; child; child development; cognition assessment; controlled study; diagnostic procedure; dyadic bid; eye tracking; face; female; game; human; infancy; infant; longitudinal study; major clinical study; male; Mullen Scales of Early Learning; peek a boo; priority journal; sibling; singing; social evolution; social interaction; tickle; toy play; visual attention; risk,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85086396014,Gaming / VR
Arjun S.; Reddy G.S.R.; Mukhopadhyay A.; Vinod S.; Biswas P.,"Arjun, Somnath (57193513088); Reddy, G.S. Rajshekar (57377147400); Mukhopadhyay, Abhishek (57205506014); Vinod, Sanjana (57441219000); Biswas, Pradipta (14007579800)",57193513088; 57377147400; 57205506014; 57441219000; 14007579800,Evaluating Visual Variables in a Virtual Reality Environment,2021,"34th British Human Computer Interaction Conference Interaction Conference, BCS HCI 2021",,,,133,138,5.0,7,10.14236/ewic/HCI2021.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124103432&doi=10.14236%2fewic%2fHCI2021.1&partnerID=40&md5=372374c732025a157ba5d3f745846334,"Large amount of multi-dimensional data can be difficult to visualize in standard 2D display. Virtual Reality and the associated 3rd dimension may be useful for data analysis; however, 3D charts may often be confusing to users rather conveying information. This paper investigated and evaluated graphical primitives of 3D charts in a Virtual Reality (VR) environment. We compared six different 3D graphs involving two graph types and five visual variables. We analysed ocular and EEG parameters of users while they undertook representative data interpretation tasks using 3D graphs. Our analysis found significant differences in fixation rate, alpha and low-beta EEG bands among different graphs and a bar chart using different sizes of columns for different data values found to be preferred among users in terms of correct response. We also found that colour makes it easier to interpret nominal data as compared to shape and size variable reduces the time required for processing numerical data as compared to orientation or opacity. Our results can be used to develop 3D sensor dashboard and visualization techniques for VR environments. © Arjun et al. Published by BCS Learning and Development Ltd.",Cognitive load; Evaluation; Eye tracking; Virtual reality; Visual variables; Visualization,Data handling; Data visualization; Eye tracking; Three dimensional computer graphics; Virtual reality; 3d graphs; Cognitive loads; Evaluation; Eye-tracking; Graphical primitives; Large amounts; Multidimensional data; Two-graphs; Virtual-reality environment; Visual variables; Visualization,Conference paper,Final,,Scopus,2-s2.0-85124103432,Gaming / VR
Koirala A.; Yu Z.; Schiltz H.; Van Hecke A.; Armstrong B.; Zheng Z.,"Koirala, Ankit (57209797744); Yu, Zhiwei (57209807755); Schiltz, Hillary (57190307874); Van Hecke, Amy (16314144900); Armstrong, Brian (7202332773); Zheng, Zhi (55804315700)",57209797744; 57209807755; 57190307874; 16314144900; 7202332773; 55804315700,A Preliminary Exploration of Virtual Reality-Based Visual and Touch Sensory Processing Assessment for Adolescents with Autism Spectrum Disorder,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,29,,9371715,619,628,9.0,18,10.1109/TNSRE.2021.3064148,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102625234&doi=10.1109%2fTNSRE.2021.3064148&partnerID=40&md5=5d1631218725969abce06f8a5e7ddf6f,"Sensory abnormalities are experienced by 90 - 95% of individuals with Autism Spectrum Disorder (ASD), a developmental disorder that impacts at least 1 in 132 children worldwide. Virtual reality (VR) technologies can precisely present sensory stimuli and be integrated with human sensing technologies to automatically detect sensory responses, and thus has a potential to improve sensory assessment objectiveness and sensitivity, compared to traditional questionnaire-based methods. However, there is a lack of evidence to demonstrate this potential. Therefore, we designed and developed a preliminary sensory assessment VR system (SAVR) to objectively and precisely evaluate the visual and touch sensory processing differences between adolescents with ASD and their typically developing (TD) peers through game playing. A controlled experiment was conducted with 12 adolescents with ASD and 12 TD adolescents. Participants' sensory pattern was assessed by SAVR and a widely used traditional questionnaire-the Adult/Adolescent Sensory Profile (AASP). We hypothesized that: 1) compared to AASP, SAVR can find more significant differences between the two participant groups, and 2) there are significant and strong correlations between the SAVR results and the AASP results. Statistical analyses of the experimental data supported the hypotheses. The implication and limitations of this preliminary exploration as well as future works are discussed. © 2001-2011 IEEE.",Autism spectrum disorder; sensory assessment; virtual reality,Adolescent; Adult; Autism Spectrum Disorder; Child; Cognition; Humans; Perception; Touch; Virtual Reality; Diseases; Surveys; cytochrome c oxidase; Autism spectrum disorders; Controlled experiment; Developmental disorders; Sensory abnormalities; Sensory processing; Sensory profiles; Sensory stimulus; Strong correlation; Article; autism; behavior; correlation analysis; correlation coefficient; data visualization; eye tracking; facial expression; facial recognition; gaze; human; information processing; questionnaire; robotics; sensation; sensitivity analysis; sensory analysis; sensory evoked potential; speech perception; touch; touch sensory processing; velocity; virtual reality; visual information; visual sensory processing; adolescent; adult; autism; child; cognition; perception; Virtual reality,Article,Final,,Scopus,2-s2.0-85102625234,Gaming / VR
